time,oat_C,diffused_irradiance_Wm2,global_irradiance_Wm2,pv_generation_scaled_W
2020-07-09 11:01:00,20.6625,108.4275,871.1971,2107.5
2020-07-09 11:02:00,20.371,104.9494,870.5602,2150.0
2020-07-09 11:03:00,20.6617,101.7876,861.007,2153.5
2020-07-09 11:04:00,20.7077,104.3171,868.3311,2139.5
2020-07-09 11:05:00,20.446,105.2656,871.1971,2148.5
2020-07-09 11:06:00,20.4092,106.2142,869.9233,2146.0
2020-07-09 11:07:00,20.5468,110.0084,875.3368,2151.0
2020-07-09 11:08:00,20.9442,111.2731,881.3871,2161.5
2020-07-09 11:09:00,21.1672,112.8541,886.4822,2189.0
2020-07-09 11:10:00,19.9905,111.9055,884.2532,2182.0
2020-07-09 11:11:00,20.7473,115.0674,888.7113,2166.0
2020-07-09 11:12:00,20.1436,109.376,886.1638,2163.5
2020-07-09 11:13:00,20.7133,111.5893,888.0744,2191.0
2020-07-09 11:14:00,20.4999,105.5818,880.7503,2173.0
2020-07-09 11:15:00,21.2409,110.0084,890.9404,2182.0
2020-07-09 11:16:00,20.2406,113.4864,898.5829,2189.0
2020-07-09 11:17:00,20.1858,110.957,894.4432,2178.0
2020-07-09 11:18:00,21.039,108.1113,893.8063,2195.5
2020-07-09 11:19:00,20.4286,109.376,892.851,2185.0
2020-07-09 11:20:00,20.9988,110.6408,899.8567,2194.5
2020-07-09 11:21:00,21.5907,110.3246,899.5382,2198.5
2020-07-09 11:22:00,21.2929,107.4789,898.9014,2191.5
2020-07-09 11:23:00,20.665,110.957,904.3148,2208.0
2020-07-09 11:24:00,20.1825,110.3246,905.907,2214.5
2020-07-09 11:25:00,20.4542,114.435,912.9127,2208.5
2020-07-09 11:26:00,20.2999,116.0159,914.1865,2224.0
2020-07-09 11:27:00,20.5273,112.5379,910.3652,2237.0
2020-07-09 11:28:00,21.7432,116.0159,917.6893,2226.0
2020-07-09 11:29:00,20.511,116.0159,909.7283,2238.5
2020-07-09 11:30:00,21.2915,112.5379,918.9631,2236.0
2020-07-09 11:31:00,21.7468,110.0084,918.9631,2249.5
2020-07-09 11:32:00,22.4823,111.9055,921.1921,2259.5
2020-07-09 11:33:00,21.3482,109.6922,920.8737,2249.0
2020-07-09 11:34:00,,,,2249.0
2020-07-09 11:35:00,20.5668,121.3911,932.9745,2260.0
2020-07-09 11:36:00,20.9439,122.0234,936.1588,2257.5
2020-07-09 11:37:00,20.7281,118.5454,927.5609,2262.5
2020-07-09 11:38:00,20.7975,122.3396,933.2928,2267.0
2020-07-09 11:39:00,21.1188,119.494,932.0191,2300.5
2020-07-09 11:40:00,21.584,117.913,929.79,2253.5
2020-07-09 11:41:00,21.0719,115.0674,930.4269,2267.5
2020-07-09 11:42:00,21.6324,117.913,933.2928,2290.5
2020-07-09 11:43:00,20.4319,125.1853,946.0305,2286.0
2020-07-09 11:44:00,20.8427,123.6044,945.3936,2289.0
2020-07-09 11:45:00,20.2988,121.7073,940.6169,2284.5
2020-07-09 11:46:00,20.4797,126.1338,950.4886,2281.0
2020-07-09 11:47:00,20.8844,123.9205,945.3936,2298.5
2020-07-09 11:48:00,20.978,122.6558,945.712,2294.5
2020-07-09 11:49:00,20.7829,121.7073,944.7567,2297.5
2020-07-09 11:50:00,20.6506,119.494,946.3489,2290.5
2020-07-09 11:51:00,20.8162,123.6044,945.3936,2304.5
2020-07-09 11:52:00,20.6973,121.3911,948.2595,2319.0
2020-07-09 11:53:00,20.7313,124.2367,954.6284,2337.0
2020-07-09 11:54:00,21.7479,118.5454,948.578,2303.0
2020-07-09 11:55:00,21.4992,117.5968,946.6674,2305.0
2020-07-09 11:56:00,20.1023,112.5379,945.712,2307.5
2020-07-09 11:57:00,22.1855,114.7512,946.6674,2305.0
2020-07-09 11:58:00,22.1823,119.8101,957.4943,2316.5
2020-07-09 11:59:00,22.3513,116.0159,953.3546,2317.5
2020-07-09 12:00:00,22.5969,112.2217,950.1702,2322.0
2020-07-09 12:01:00,22.3425,113.8026,952.7177,2326.0
2020-07-09 12:02:00,22.2334,116.6483,955.2652,2323.0
2020-07-09 12:03:00,20.9846,123.9205,965.4553,2412.0
2020-07-09 12:04:00,22.2464,117.2807,957.1758,2438.5
2020-07-09 12:05:00,21.6602,121.3911,965.1369,2467.5
2020-07-09 12:06:00,20.9709,121.0749,962.2709,2505.0
2020-07-09 12:07:00,21.6586,119.1778,958.7681,2511.5
2020-07-09 12:08:00,21.1579,122.3396,963.8632,2523.0
2020-07-09 12:09:00,21.2659,120.7587,964.1815,2528.5
2020-07-09 12:10:00,22.0603,120.7587,962.5894,2623.5
2020-07-09 12:11:00,21.6587,125.5015,969.595,2615.5
2020-07-09 12:12:00,21.6997,123.2882,969.9135,2613.0
2020-07-09 12:13:00,22.278,119.8101,967.0475,2626.0
2020-07-09 12:14:00,22.3242,116.6483,965.4553,2622.0
2020-07-09 12:15:00,22.2529,122.3396,970.8688,2616.0
2020-07-09 12:16:00,22.5067,120.7587,967.6844,2626.0
2020-07-09 12:17:00,22.1159,126.7662,975.9638,2630.0
2020-07-09 12:18:00,21.6761,123.6044,976.6007,2628.5
2020-07-09 12:19:00,22.0107,121.7073,973.0978,2628.5
2020-07-09 12:20:00,22.3527,122.6558,974.0532,2621.0
2020-07-09 12:21:00,21.8215,121.3911,971.8241,2640.0
2020-07-09 12:22:00,21.9663,116.9645,971.5057,2633.0
2020-07-09 12:23:00,21.1744,121.3911,973.7347,2627.0
2020-07-09 12:24:00,21.7081,117.2807,973.0978,2616.5
2020-07-09 12:25:00,21.9251,121.0749,975.0085,2630.0
2020-07-09 12:26:00,21.639,117.2807,972.461,2629.5
2020-07-09 12:27:00,21.6157,114.7512,971.8241,2655.0
2020-07-09 12:28:00,22.5641,118.5454,983.2879,2641.0
2020-07-09 12:29:00,21.7899,113.1703,973.7347,2659.0
