time,rb_sup_air_flow_sp_cmh,rb_sup_air_temp_sp_C,rb_battery_rate_W,ra_zone_temp_hsp_C,ra_zone_temp_csp_C,ra_battery_rate_W
2020-07-09 11:00:00,,,,,,
2020-07-09 11:01:00,857.0,17.19,15.0,21.0,24.0,13.0
2020-07-09 11:02:00,723.0,15.7,15.0,21.0,24.0,8.0
2020-07-09 11:03:00,723.0,15.7,16.0,21.0,24.0,11.0
2020-07-09 11:04:00,723.0,15.7,21.0,21.0,24.0,13.0
2020-07-09 11:05:00,723.0,15.7,0.0,21.0,24.0,-3.0
2020-07-09 11:06:00,723.0,15.7,3.0,21.0,24.0,14.0
2020-07-09 11:07:00,723.0,15.7,14.0,21.0,24.0,15.0
2020-07-09 11:08:00,723.0,15.7,27.0,21.0,24.0,18.0
2020-07-09 11:09:00,723.0,15.7,13.0,21.0,24.0,4.0
2020-07-09 11:10:00,723.0,15.7,6.0,21.0,24.0,13.0
2020-07-09 11:11:00,723.0,15.7,40.0,21.0,24.0,8.0
2020-07-09 11:12:00,723.0,15.7,-7.0,21.0,24.0,-3.0
2020-07-09 11:13:00,723.0,15.7,14.0,21.0,24.0,11.0
2020-07-09 11:14:00,723.0,15.7,15.0,21.0,24.0,17.0
2020-07-09 11:15:00,723.0,15.7,22.0,21.0,24.0,2.0
2020-07-09 11:16:00,723.0,15.7,22.0,21.0,24.0,14.0
2020-07-09 11:17:00,543.0,12.48,247.0,21.0,24.0,17.0
2020-07-09 11:18:00,543.0,12.48,249.0,21.0,24.0,13.0
2020-07-09 11:19:00,543.0,12.48,266.0,21.0,24.0,10.0
2020-07-09 11:20:00,543.0,12.48,263.0,21.0,24.0,13.0
2020-07-09 11:21:00,543.0,12.48,250.0,21.0,24.0,12.0
2020-07-09 11:22:00,543.0,12.48,265.0,21.0,24.0,12.0
2020-07-09 11:23:00,543.0,12.48,260.0,21.0,24.0,5.0
2020-07-09 11:24:00,543.0,12.48,264.0,21.0,24.0,15.0
2020-07-09 11:25:00,543.0,12.48,261.0,21.0,24.0,20.0
2020-07-09 11:26:00,543.0,12.48,238.0,21.0,24.0,22.0
2020-07-09 11:27:00,543.0,12.48,265.0,21.0,24.0,3.0
2020-07-09 11:28:00,543.0,12.48,267.0,21.0,24.0,-1.0
2020-07-09 11:29:00,543.0,12.48,248.0,21.0,24.0,10.0
2020-07-09 11:30:00,543.0,12.48,249.0,21.0,24.0,2.0
2020-07-09 11:31:00,543.0,12.48,253.0,21.0,24.0,7.0
2020-07-09 11:32:00,580.0,11.83,148.0,21.0,24.0,14.0
2020-07-09 11:33:00,580.0,11.83,137.0,21.0,24.0,10.0
2020-07-09 11:34:00,,,149.0,21.0,24.0,-2.0
2020-07-09 11:35:00,580.0,11.83,146.0,21.0,24.0,15.0
2020-07-09 11:36:00,580.0,11.83,139.0,21.0,24.0,4.0
2020-07-09 11:37:00,580.0,11.83,146.0,21.0,24.0,20.0
2020-07-09 11:38:00,580.0,11.83,146.0,21.0,24.0,16.0
2020-07-09 11:39:00,580.0,11.83,147.0,21.0,24.0,21.0
2020-07-09 11:40:00,580.0,11.83,130.0,21.0,24.0,6.0
2020-07-09 11:41:00,580.0,11.83,127.0,21.0,24.0,10.0
2020-07-09 11:42:00,580.0,11.83,138.0,21.0,24.0,17.0
2020-07-09 11:43:00,580.0,11.83,127.0,21.0,24.0,2.0
2020-07-09 11:44:00,580.0,11.83,122.0,21.0,24.0,17.0
2020-07-09 11:45:00,580.0,11.83,143.0,21.0,24.0,20.0
2020-07-09 11:46:00,580.0,11.83,143.0,21.0,24.0,18.0
2020-07-09 11:47:00,502.0,11.85,141.0,21.0,24.0,-1.0
2020-07-09 11:48:00,502.0,11.85,134.0,21.0,24.0,22.0
2020-07-09 11:49:00,502.0,11.85,142.0,21.0,24.0,18.0
2020-07-09 11:50:00,502.0,11.85,138.0,21.0,24.0,5.0
2020-07-09 11:51:00,502.0,11.85,149.0,21.0,24.0,13.0
2020-07-09 11:52:00,502.0,11.85,138.0,21.0,24.0,22.0
2020-07-09 11:53:00,502.0,11.85,115.0,21.0,24.0,15.0
2020-07-09 11:54:00,502.0,11.85,132.0,21.0,24.0,10.0
2020-07-09 11:55:00,502.0,11.85,137.0,21.0,24.0,15.0
2020-07-09 11:56:00,502.0,11.85,127.0,21.0,24.0,15.0
2020-07-09 11:57:00,502.0,11.85,129.0,21.0,24.0,2.0
2020-07-09 11:58:00,502.0,11.85,138.0,21.0,24.0,14.0
2020-07-09 11:59:00,502.0,11.85,146.0,21.0,24.0,1.0
2020-07-09 12:00:00,502.0,11.85,140.0,21.0,24.0,16.0
2020-07-09 12:01:00,502.0,11.85,120.0,21.0,24.0,20.0
2020-07-09 12:02:00,654.0,11.96,257.0,21.0,24.0,15.0
2020-07-09 12:03:00,654.0,11.96,260.0,21.0,24.0,15.0
2020-07-09 12:04:00,654.0,11.96,244.0,21.0,24.0,14.0
2020-07-09 12:05:00,654.0,11.96,258.0,21.0,24.0,8.0
2020-07-09 12:06:00,654.0,11.96,246.0,21.0,24.0,16.0
2020-07-09 12:07:00,654.0,11.96,240.0,21.0,24.0,14.0
2020-07-09 12:08:00,654.0,11.96,254.0,21.0,24.0,17.0
2020-07-09 12:09:00,654.0,11.96,264.0,21.0,24.0,20.0
2020-07-09 12:10:00,654.0,11.96,269.0,21.0,24.0,0.0
2020-07-09 12:11:00,654.0,11.96,264.0,21.0,24.0,0.0
2020-07-09 12:12:00,654.0,11.96,253.0,21.0,24.0,0.0
2020-07-09 12:13:00,654.0,11.96,259.0,21.0,24.0,0.0
2020-07-09 12:14:00,654.0,11.96,259.0,21.0,24.0,0.0
2020-07-09 12:15:00,654.0,11.96,268.0,21.0,24.0,0.0
2020-07-09 12:16:00,654.0,11.96,276.0,21.0,24.0,0.0
2020-07-09 12:17:00,399.0,11.48,384.0,21.0,24.0,0.0
2020-07-09 12:18:00,399.0,11.48,389.0,21.0,24.0,262.0
2020-07-09 12:19:00,399.0,11.48,390.0,21.0,24.0,261.0
2020-07-09 12:20:00,399.0,11.48,392.0,21.0,24.0,253.0
2020-07-09 12:21:00,399.0,11.48,375.0,21.0,24.0,252.0
2020-07-09 12:22:00,399.0,11.48,383.0,21.0,24.0,255.0
2020-07-09 12:23:00,399.0,11.48,379.0,21.0,24.0,260.0
2020-07-09 12:24:00,399.0,11.48,380.0,21.0,24.0,256.0
2020-07-09 12:25:00,399.0,11.48,389.0,21.0,24.0,264.0
2020-07-09 12:26:00,399.0,11.48,380.0,21.0,24.0,261.0
2020-07-09 12:27:00,399.0,11.48,389.0,21.0,24.0,261.0
2020-07-09 12:28:00,399.0,11.48,393.0,21.0,24.0,253.0
2020-07-09 12:29:00,399.0,11.48,393.0,21.0,24.0,261.0
2020-07-09 12:30:00,399.0,11.48,367.0,21.0,24.0,265.0
2020-07-09 12:31:00,399.0,11.48,387.0,21.0,24.0,261.0
2020-07-09 12:32:00,308.0,11.1,506.0,21.0,24.0,500.0
2020-07-09 12:33:00,308.0,11.1,496.0,21.0,24.0,515.0
2020-07-09 12:34:00,308.0,11.1,491.0,21.0,24.0,496.0
2020-07-09 12:35:00,308.0,11.1,508.0,21.0,24.0,501.0
2020-07-09 12:36:00,308.0,11.1,497.0,21.0,24.0,509.0
2020-07-09 12:37:00,308.0,11.1,530.0,21.0,24.0,515.0
2020-07-09 12:38:00,308.0,11.1,503.0,21.0,24.0,510.0
2020-07-09 12:39:00,308.0,11.1,516.0,21.0,24.0,501.0
2020-07-09 12:40:00,308.0,11.1,511.0,21.0,24.0,505.0
2020-07-09 12:41:00,308.0,11.1,514.0,21.0,24.0,500.0
2020-07-09 12:42:00,308.0,11.1,510.0,21.0,24.0,510.0
2020-07-09 12:43:00,308.0,11.1,515.0,21.0,24.0,501.0
2020-07-09 12:44:00,308.0,11.1,503.0,21.0,24.0,508.0
2020-07-09 12:45:00,308.0,11.1,515.0,21.0,24.0,499.0
2020-07-09 12:46:00,308.0,11.1,511.0,21.0,24.0,513.0
2020-07-09 12:47:00,408.0,11.02,528.0,21.0,24.0,523.0
2020-07-09 12:48:00,408.0,11.02,513.0,21.0,24.0,524.0
2020-07-09 12:49:00,408.0,11.02,508.0,21.0,24.0,531.0
2020-07-09 12:50:00,408.0,11.02,517.0,21.0,24.0,521.0
2020-07-09 12:51:00,408.0,11.02,510.0,21.0,24.0,515.0
2020-07-09 12:52:00,408.0,11.02,501.0,21.0,24.0,524.0
2020-07-09 12:53:00,408.0,11.02,494.0,21.0,24.0,524.0
2020-07-09 12:54:00,408.0,11.02,519.0,21.0,24.0,518.0
2020-07-09 12:55:00,408.0,11.02,501.0,21.0,24.0,518.0
2020-07-09 12:56:00,408.0,11.02,517.0,21.0,24.0,534.0
2020-07-09 12:57:00,408.0,11.02,519.0,21.0,24.0,526.0
2020-07-09 12:58:00,408.0,11.02,508.0,21.0,24.0,528.0
