Date/Time,FLEXLAB-XR-ZONEB:Daylighting Reference Point 1 Illuminance [lux](TimeStep)
 01/01  00:15:00,0
 01/01  00:30:00,0
 01/01  00:45:00,0
 01/01  01:00:00,0
 01/01  01:15:00,0
 01/01  01:30:00,0
 01/01  01:45:00,0
 01/01  02:00:00,0
 01/01  02:15:00,0
 01/01  02:30:00,0
 01/01  02:45:00,0
 01/01  03:00:00,0
 01/01  03:15:00,0
 01/01  03:30:00,0
 01/01  03:45:00,0
 01/01  04:00:00,0
 01/01  04:15:00,0
 01/01  04:30:00,0
 01/01  04:45:00,0
 01/01  05:00:00,0
 01/01  05:15:00,0
 01/01  05:30:00,0
 01/01  05:45:00,0
 01/01  06:00:00,0
 01/01  06:15:00,0
 01/01  06:30:00,0
 01/01  06:45:00,0
 01/01  07:00:00,0
 01/01  07:15:00,0
 01/01  07:30:00,1.4585615
 01/01  07:45:00,4.970600015
 01/01  08:00:00,10.33862743
 01/01  08:15:00,14.26259528
 01/01  08:30:00,18.32896861
 01/01  08:45:00,26.62496878
 01/01  09:00:00,35.49179005
 01/01  09:15:00,44.75744423
 01/01  09:30:00,54.53791367
 01/01  09:45:00,55.16413952
 01/01  10:00:00,55.86148911
 01/01  10:15:00,56.25112918
 01/01  10:30:00,56.711855
 01/01  10:45:00,60.33702224
 01/01  11:00:00,64.08465271
 01/01  11:15:00,67.72743679
 01/01  11:30:00,71.48376957
 01/01  11:45:00,83.41101226
 01/01  12:00:00,95.91374611
 01/01  12:15:00,108.7330523
 01/01  12:30:00,122.0724627
 01/01  12:45:00,108.9432789
 01/01  13:00:00,96.3095778
 01/01  13:15:00,84.0017537
 01/01  13:30:00,72.24498119
 01/01  13:45:00,68.8667121
 01/01  14:00:00,65.59304827
 01/01  14:15:00,62.22771184
 01/01  14:30:00,58.97134311
 01/01  14:45:00,59.10517179
 01/01  15:00:00,59.32102577
 01/01  15:15:00,59.22634499
 01/01  15:30:00,59.20720715
 01/01  15:45:00,50.25543662
 01/01  16:00:00,41.71466837
 01/01  16:15:00,33.40076302
 01/01  16:30:00,25.54679619
 01/01  16:45:00,20.04772958
 01/01  17:00:00,14.78238442
 01/01  17:15:00,7.407967584
 01/01  17:30:00,2.499153444
 01/01  17:45:00,0
 01/01  18:00:00,0
 01/01  18:15:00,0
 01/01  18:30:00,0
 01/01  18:45:00,0
 01/01  19:00:00,0
 01/01  19:15:00,0
 01/01  19:30:00,0
 01/01  19:45:00,0
 01/01  20:00:00,0
 01/01  20:15:00,0
 01/01  20:30:00,0
 01/01  20:45:00,0
 01/01  21:00:00,0
 01/01  21:15:00,0
 01/01  21:30:00,0
 01/01  21:45:00,0
 01/01  22:00:00,0
 01/01  22:15:00,0
 01/01  22:30:00,0
 01/01  22:45:00,0
 01/01  23:00:00,0
 01/01  23:15:00,0
 01/01  23:30:00,0
 01/01  23:45:00,0
 01/01  24:00:00,0
 01/02  00:15:00,0
 01/02  00:30:00,0
 01/02  00:45:00,0
 01/02  01:00:00,0
 01/02  01:15:00,0
 01/02  01:30:00,0
 01/02  01:45:00,0
 01/02  02:00:00,0
 01/02  02:15:00,0
 01/02  02:30:00,0
 01/02  02:45:00,0
 01/02  03:00:00,0
 01/02  03:15:00,0
 01/02  03:30:00,0
 01/02  03:45:00,0
 01/02  04:00:00,0
 01/02  04:15:00,0
 01/02  04:30:00,0
 01/02  04:45:00,0
 01/02  05:00:00,0
 01/02  05:15:00,0
 01/02  05:30:00,0
 01/02  05:45:00,0
 01/02  06:00:00,0
 01/02  06:15:00,0
 01/02  06:30:00,0
 01/02  06:45:00,0
 01/02  07:00:00,0
 01/02  07:15:00,0
 01/02  07:30:00,3.242792364
 01/02  07:45:00,7.429749819
 01/02  08:00:00,11.67225567
 01/02  08:15:00,14.96270365
 01/02  08:30:00,18.90374524
 01/02  08:45:00,26.77259104
 01/02  09:00:00,35.15112169
 01/02  09:15:00,43.86494972
 01/02  09:30:00,53.03966917
 01/02  09:45:00,111.7552653
 01/02  10:00:00,183.6454243
 01/02  10:15:00,244.3184328
 01/02  10:30:00,307.0621984
 01/02  10:45:00,320.286093
 01/02  11:00:00,332.4277764
 01/02  11:15:00,343.3565217
 01/02  11:30:00,341.5545062
 01/02  11:45:00,290.3872226
 01/02  12:00:00,232.7697059
 01/02  12:15:00,181.1709459
 01/02  12:30:00,134.2568283
 01/02  12:45:00,132.3445511
 01/02  13:00:00,130.6029065
 01/02  13:15:00,128.5975282
 01/02  13:30:00,126.7598586
 01/02  13:45:00,121.3532934
 01/02  14:00:00,116.1516575
