Date/Time,FLEXLAB-XR-ZONEB:Daylighting Reference Point 1 Illuminance [lux](TimeStep)
 01/01  00:15:00,0
 01/01  00:30:00,0
 01/01  00:45:00,0
 01/01  01:00:00,0
 01/01  01:15:00,0
 01/01  01:30:00,0
 01/01  01:45:00,0
 01/01  02:00:00,0
 01/01  02:15:00,0
 01/01  02:30:00,0
 01/01  02:45:00,0
 01/01  03:00:00,0
 01/01  03:15:00,0
 01/01  03:30:00,0
 01/01  03:45:00,0
 01/01  04:00:00,0
 01/01  04:15:00,0
 01/01  04:30:00,0
 01/01  04:45:00,0
 01/01  05:00:00,0
 01/01  05:15:00,0
 01/01  05:30:00,0
 01/01  05:45:00,0
 01/01  06:00:00,0
 01/01  06:15:00,0
 01/01  06:30:00,0
 01/01  06:45:00,0
 01/01  07:00:00,0
 01/01  07:15:00,0
 01/01  07:30:00,7.518111534
 01/01  07:45:00,38.30102663
 01/01  08:00:00,111.4076654
 01/01  08:15:00,182.2404042
 01/01  08:30:00,254.8872705
 01/01  08:45:00,321.1701502
 01/01  09:00:00,370.99095
 01/01  09:15:00,451.3911437
 01/01  09:30:00,531.8891466
 01/01  09:45:00,567.5963918
 01/01  10:00:00,594.1211329
 01/01  10:15:00,618.9512948
 01/01  10:30:00,622.6914375
 01/01  10:45:00,655.2607293
 01/01  11:00:00,683.7615062
 01/01  11:15:00,712.8717085
 01/01  11:30:00,750.8243896
 01/01  11:45:00,717.3637932
 01/01  12:00:00,691.1261061
 01/01  12:15:00,662.621693
 01/01  12:30:00,629.7223832
 01/01  12:45:00,619.011504
 01/01  13:00:00,605.0772445
 01/01  13:15:00,589.5516541
 01/01  13:30:00,570.7933255
 01/01  13:45:00,549.6484915
 01/01  14:00:00,524.9132965
 01/01  14:15:00,500.3983949
 01/01  14:30:00,471.536055
 01/01  14:45:00,404.9367836
 01/01  15:00:00,339.6786968
 01/01  15:15:00,273.7694828
 01/01  15:30:00,219.4086104
 01/01  15:45:00,179.8301537
 01/01  16:00:00,148.8138451
 01/01  16:15:00,93.10799472
 01/01  16:30:00,53.09763251
 01/01  16:45:00,30.5409375
 01/01  17:00:00,0
 01/01  17:15:00,0
 01/01  17:30:00,0
 01/01  17:45:00,0
 01/01  18:00:00,0
 01/01  18:15:00,0
 01/01  18:30:00,0
 01/01  18:45:00,0
 01/01  19:00:00,0
 01/01  19:15:00,0
 01/01  19:30:00,0
 01/01  19:45:00,0
 01/01  20:00:00,0
 01/01  20:15:00,0
 01/01  20:30:00,0
 01/01  20:45:00,0
 01/01  21:00:00,0
 01/01  21:15:00,0
 01/01  21:30:00,0
 01/01  21:45:00,0
 01/01  22:00:00,0
 01/01  22:15:00,0
 01/01  22:30:00,0
 01/01  22:45:00,0
 01/01  23:00:00,0
 01/01  23:15:00,0
 01/01  23:30:00,0
 01/01  23:45:00,0
 01/01  24:00:00,0
 01/02  00:15:00,0
 01/02  00:30:00,0
 01/02  00:45:00,0
 01/02  01:00:00,0
 01/02  01:15:00,0
 01/02  01:30:00,0
 01/02  01:45:00,0
 01/02  02:00:00,0
 01/02  02:15:00,0
 01/02  02:30:00,0
 01/02  02:45:00,0
 01/02  03:00:00,0
 01/02  03:15:00,0
 01/02  03:30:00,0
 01/02  03:45:00,0
 01/02  04:00:00,0
 01/02  04:15:00,0
 01/02  04:30:00,0
 01/02  04:45:00,0
 01/02  05:00:00,0
 01/02  05:15:00,0
 01/02  05:30:00,0
 01/02  05:45:00,0
 01/02  06:00:00,0
 01/02  06:15:00,0
 01/02  06:30:00,0
 01/02  06:45:00,0
 01/02  07:00:00,0
 01/02  07:15:00,0
 01/02  07:30:00,7.395074249
 01/02  07:45:00,38.41679697
 01/02  08:00:00,113.1984081
 01/02  08:15:00,186.5703217
 01/02  08:30:00,262.6312796
 01/02  08:45:00,318.3902498
 01/02  09:00:00,358.0466481
 01/02  09:15:00,423.6761041
 01/02  09:30:00,486.8112088
 01/02  09:45:00,511.4000373
 01/02  10:00:00,545.0701746
 01/02  10:15:00,583.8131692
 01/02  10:30:00,618.0949685
 01/02  10:45:00,645.1915113
 01/02  11:00:00,667.9496125
 01/02  11:15:00,691.4861182
 01/02  11:30:00,710.9944402
 01/02  11:45:00,704.2997188
 01/02  12:00:00,692.9632844
 01/02  12:15:00,679.8895199
 01/02  12:30:00,662.7955066
 01/02  12:45:00,654.6654558
 01/02  13:00:00,642.9477673
 01/02  13:15:00,629.5026485
 01/02  13:30:00,612.3538205
 01/02  13:45:00,582.0873143
 01/02  14:00:00,548.6948813
 01/02  14:15:00,516.3059102
