Date/Time,FLEXLAB-XR-ZONEB:Daylighting Reference Point 1 Illuminance [lux](TimeStep)
 01/01  00:15:00,0
 01/01  00:30:00,0
 01/01  00:45:00,0
 01/01  01:00:00,0
 01/01  01:15:00,0
 01/01  01:30:00,0
 01/01  01:45:00,0
 01/01  02:00:00,0
 01/01  02:15:00,0
 01/01  02:30:00,0
 01/01  02:45:00,0
 01/01  03:00:00,0
 01/01  03:15:00,0
 01/01  03:30:00,0
 01/01  03:45:00,0
 01/01  04:00:00,0
 01/01  04:15:00,0
 01/01  04:30:00,0
 01/01  04:45:00,0
 01/01  05:00:00,0
 01/01  05:15:00,0
 01/01  05:30:00,0
 01/01  05:45:00,0
 01/01  06:00:00,0
 01/01  06:15:00,0
 01/01  06:30:00,0
 01/01  06:45:00,0
 01/01  07:00:00,0
 01/01  07:15:00,0
 01/01  07:30:00,0.941415815
 01/01  07:45:00,23.55815213
 01/01  08:00:00,89.26476171
 01/01  08:15:00,169.4457431
 01/01  08:30:00,261.6538629
 01/01  08:45:00,323.7704828
 01/01  09:00:00,367.6535941
 01/01  09:15:00,444.044727
 01/01  09:30:00,518.286288
 01/01  09:45:00,566.245023
 01/01  10:00:00,606.630812
 01/01  10:15:00,654.6327355
 01/01  10:30:00,697.6606595
 01/01  10:45:00,713.3666678
 01/01  11:00:00,720.0970843
 01/01  11:15:00,703.8572428
 01/01  11:30:00,696.9126872
 01/01  11:45:00,701.2295134
 01/01  12:00:00,701.5078814
 01/01  12:15:00,700.6858893
 01/01  12:30:00,695.982804
 01/01  12:45:00,692.1391766
 01/01  13:00:00,684.3336959
 01/01  13:15:00,674.6608219
 01/01  13:30:00,660.7647235
 01/01  13:45:00,654.4901157
 01/01  14:00:00,641.8708315
 01/01  14:15:00,644.3940343
 01/01  14:30:00,624.1732658
 01/01  14:45:00,548.7762099
 01/01  15:00:00,460.4295226
 01/01  15:15:00,399.8667921
 01/01  15:30:00,335.3923504
 01/01  15:45:00,227.4762706
 01/01  16:00:00,133.5351885
 01/01  16:15:00,51.02505791
 01/01  16:30:00,0
 01/01  16:45:00,0
 01/01  17:00:00,0
 01/01  17:15:00,0
 01/01  17:30:00,0
 01/01  17:45:00,0
 01/01  18:00:00,0
 01/01  18:15:00,0
 01/01  18:30:00,0
 01/01  18:45:00,0
 01/01  19:00:00,0
 01/01  19:15:00,0
 01/01  19:30:00,0
 01/01  19:45:00,0
 01/01  20:00:00,0
 01/01  20:15:00,0
 01/01  20:30:00,0
 01/01  20:45:00,0
 01/01  21:00:00,0
 01/01  21:15:00,0
 01/01  21:30:00,0
 01/01  21:45:00,0
 01/01  22:00:00,0
 01/01  22:15:00,0
 01/01  22:30:00,0
 01/01  22:45:00,0
 01/01  23:00:00,0
 01/01  23:15:00,0
 01/01  23:30:00,0
 01/01  23:45:00,0
 01/01  24:00:00,0
 01/02  00:15:00,0
 01/02  00:30:00,0
 01/02  00:45:00,0
 01/02  01:00:00,0
 01/02  01:15:00,0
 01/02  01:30:00,0
 01/02  01:45:00,0
 01/02  02:00:00,0
 01/02  02:15:00,0
 01/02  02:30:00,0
 01/02  02:45:00,0
 01/02  03:00:00,0
 01/02  03:15:00,0
 01/02  03:30:00,0
 01/02  03:45:00,0
 01/02  04:00:00,0
 01/02  04:15:00,0
 01/02  04:30:00,0
 01/02  04:45:00,0
 01/02  05:00:00,0
 01/02  05:15:00,0
 01/02  05:30:00,0
 01/02  05:45:00,0
 01/02  06:00:00,0
 01/02  06:15:00,0
 01/02  06:30:00,0
 01/02  06:45:00,0
 01/02  07:00:00,0
 01/02  07:15:00,0
 01/02  07:30:00,0.913810041
 01/02  07:45:00,24.36273139
 01/02  08:00:00,86.24505774
 01/02  08:15:00,158.4004054
 01/02  08:30:00,240.2487033
 01/02  08:45:00,303.1692803
 01/02  09:00:00,351.2655015
 01/02  09:15:00,427.9330381
 01/02  09:30:00,503.6528224
 01/02  09:45:00,537.6926314
 01/02  10:00:00,543.1794634
 01/02  10:15:00,565.6120641
 01/02  10:30:00,580.7806647
 01/02  10:45:00,636.3637061
 01/02  11:00:00,689.2144741
 01/02  11:15:00,753.8886393
 01/02  11:30:00,798.6015143
 01/02  11:45:00,809.8664853
 01/02  12:00:00,816.6048186
 01/02  12:15:00,823.1068805
 01/02  12:30:00,825.0640362
 01/02  12:45:00,780.5556946
 01/02  13:00:00,702.8637949
 01/02  13:15:00,633.6889402
 01/02  13:30:00,551.1227509
 01/02  13:45:00,558.7193654
 01/02  14:00:00,551.1058718
 01/02  14:15:00,540.966666
