Date/Time,FLEXLAB-XR-ZONEB:Daylighting Reference Point 1 Illuminance [lux](TimeStep)
 01/01  00:15:00,0
 01/01  00:30:00,0
 01/01  00:45:00,0
 01/01  01:00:00,0
 01/01  01:15:00,0
 01/01  01:30:00,0
 01/01  01:45:00,0
 01/01  02:00:00,0
 01/01  02:15:00,0
 01/01  02:30:00,0
 01/01  02:45:00,0
 01/01  03:00:00,0
 01/01  03:15:00,0
 01/01  03:30:00,0
 01/01  03:45:00,0
 01/01  04:00:00,0
 01/01  04:15:00,0
 01/01  04:30:00,0
 01/01  04:45:00,0
 01/01  05:00:00,0
 01/01  05:15:00,0
 01/01  05:30:00,0
 01/01  05:45:00,0
 01/01  06:00:00,0
 01/01  06:15:00,0
 01/01  06:30:00,0
 01/01  06:45:00,0
 01/01  07:00:00,0
 01/01  07:15:00,0
 01/01  07:30:00,0.527973327
 01/01  07:45:00,4.628250386
 01/01  08:00:00,24.56605098
 01/01  08:15:00,51.91804129
 01/01  08:30:00,83.935981
 01/01  08:45:00,78.03672244
 01/01  09:00:00,64.25415413
 01/01  09:15:00,55.80313385
 01/01  09:30:00,42.81554836
 01/01  09:45:00,40.00450395
 01/01  10:00:00,35.93358645
 01/01  10:15:00,33.26700274
 01/01  10:30:00,30.09743696
 01/01  10:45:00,39.72343204
 01/01  11:00:00,51.18084898
 01/01  11:15:00,61.16228955
 01/01  11:30:00,73.16979293
 01/01  11:45:00,71.90311013
 01/01  12:00:00,72.8029563
 01/01  12:15:00,71.36629692
 01/01  12:30:00,69.54604643
 01/01  12:45:00,70.12429093
 01/01  13:00:00,70.3189199
 01/01  13:15:00,73.07326583
 01/01  13:30:00,72.83146148
 01/01  13:45:00,67.41683556
 01/01  14:00:00,61.98000108
 01/01  14:15:00,51.21060738
 01/01  14:30:00,44.56439349
 01/01  14:45:00,48.21985775
 01/01  15:00:00,50.3413487
 01/01  15:15:00,52.4219623
 01/01  15:30:00,57.65836138
 01/01  15:45:00,45.71355593
 01/01  16:00:00,33.87238228
 01/01  16:15:00,18.95944046
 01/01  16:30:00,8.989254223
 01/01  16:45:00,4.967998269
 01/01  17:00:00,0
 01/01  17:15:00,0
 01/01  17:30:00,0
 01/01  17:45:00,0
 01/01  18:00:00,0
 01/01  18:15:00,0
 01/01  18:30:00,0
 01/01  18:45:00,0
 01/01  19:00:00,0
 01/01  19:15:00,0
 01/01  19:30:00,0
 01/01  19:45:00,0
 01/01  20:00:00,0
 01/01  20:15:00,0
 01/01  20:30:00,0
 01/01  20:45:00,0
 01/01  21:00:00,0
 01/01  21:15:00,0
 01/01  21:30:00,0
 01/01  21:45:00,0
 01/01  22:00:00,0
 01/01  22:15:00,0
 01/01  22:30:00,0
 01/01  22:45:00,0
 01/01  23:00:00,0
 01/01  23:15:00,0
 01/01  23:30:00,0
 01/01  23:45:00,0
 01/01  24:00:00,0
 01/02  00:15:00,0
 01/02  00:30:00,0
 01/02  00:45:00,0
 01/02  01:00:00,0
 01/02  01:15:00,0
 01/02  01:30:00,0
 01/02  01:45:00,0
 01/02  02:00:00,0
 01/02  02:15:00,0
 01/02  02:30:00,0
 01/02  02:45:00,0
 01/02  03:00:00,0
 01/02  03:15:00,0
 01/02  03:30:00,0
 01/02  03:45:00,0
 01/02  04:00:00,0
 01/02  04:15:00,0
 01/02  04:30:00,0
 01/02  04:45:00,0
 01/02  05:00:00,0
 01/02  05:15:00,0
 01/02  05:30:00,0
 01/02  05:45:00,0
 01/02  06:00:00,0
 01/02  06:15:00,0
 01/02  06:30:00,0
 01/02  06:45:00,0
 01/02  07:00:00,0
 01/02  07:15:00,0
 01/02  07:30:00,0
 01/02  07:45:00,4.240604197
 01/02  08:00:00,10.81092955
 01/02  08:15:00,17.65219842
 01/02  08:30:00,25.38682011
 01/02  08:45:00,26.35808337
 01/02  09:00:00,25.68920778
 01/02  09:15:00,28.09220099
 01/02  09:30:00,26.55538846
 01/02  09:45:00,26.04012223
 01/02  10:00:00,22.24193838
 01/02  10:15:00,19.63285854
 01/02  10:30:00,14.13648075
 01/02  10:45:00,14.42605142
 01/02  11:00:00,16.46369497
 01/02  11:15:00,16.49959401
 01/02  11:30:00,16.40237644
 01/02  11:45:00,13.67199057
 01/02  12:00:00,10.79656018
 01/02  12:15:00,7.826273619
 01/02  12:30:00,4.738914709
 01/02  12:45:00,4.512809138
 01/02  13:00:00,4.237092499
 01/02  13:15:00,3.33083848
 01/02  13:30:00,2.699218771
 01/02  13:45:00,2.677556224
 01/02  14:00:00,2.36839025
 01/02  14:15:00,2.062575184
